iter,propose_t0,propose_t1,train_t0,train_t1,prompt_tokens,completion_tokens,proposer_latency_s,guard_ok,guard_violations,val_acc,decision,exit_code,discarded_by_rollback,E_prop_J,E_train_J,E_iter_J,proposer,patience,loop_budget,run
3,1786513866.3922403,1786513929.2619402,1786513929.268629,1786513977.357496,2890,2155,62.86961579322815,True,[],0.097,reverted,0.0,True,5856.874,4474.857,10331.731,dense,3,10,run_2_repetition_0
4,1786513977.3654742,1786514035.8380194,1786514035.8525968,1786514083.776236,2725,2010,58.47245955467224,True,[],0.0956,reverted,0.0,True,5341.146,4157.621,9498.767,dense,3,10,run_2_repetition_0
5,1786514083.7775953,1786514141.897786,1786514141.9047403,1786514189.7815032,2812,1995,58.12010359764099,True,[],0.2192,reverted,0.0,True,5337.65,3948.191,9285.841,dense,3,10,run_2_repetition_0
6,1786514189.78289,1786514250.2829945,1786514250.297526,1786514298.1743913,2824,2077,60.49997591972351,True,[],0.2164,reverted,0.0,True,5619.661,3853.111,9472.772,dense,3,10,run_2_repetition_0
7,1786514298.1820552,1786514356.3485465,1786514356.3631434,1786514359.0338616,2821,1997,58.16635823249817,True,[],,errored,1.0,False,5312.658,30.859,5343.517000000001,dense,3,10,run_2_repetition_0
8,1786514359.041401,1786514418.7170985,1786514418.723869,1786514421.4450448,3130,2038,59.67561197280884,True,[],,errored,1.0,False,5588.707,39.156,5627.863,dense,3,10,run_2_repetition_0
9,1786514421.4520466,1786514479.6675377,1786514479.6741796,1786514527.39862,3172,1987,58.215362310409546,True,[],0.7982,keep,0.0,False,5627.988,4530.904,10158.892,dense,3,10,run_2_repetition_0
10,1786514527.402134,1786514589.8644323,1786514589.8789368,1786514637.767283,2930,2142,62.46221446990967,True,[],0.8282,keep,0.0,False,5865.13,4547.02,10412.15,dense,3,10,run_2_repetition_0
1,1786563572.9594605,1786563634.4528944,1786563634.4599829,1786563682.3849835,2613,2108,61.49332571029663,True,[],0.1398,reverted,0.0,True,5555.346,4509.961,10065.307,dense,3,10,run_2_repetition_1
2,1786563682.3863592,1786563743.3316872,1786563743.3388674,1786563746.009849,2802,2092,60.94523000717163,True,[],,errored,1.0,False,5620.083,25.591,5645.674,dense,3,10,run_2_repetition_1
3,1786563746.0162203,1786563806.964309,1786563806.9710956,1786563854.8472717,3017,2085,60.94796681404114,True,[],0.2556,reverted,0.0,True,5671.771,4420.717,10092.488,dense,3,10,run_2_repetition_1
4,1786563854.848718,1786563919.3263092,1786563919.3410866,1786563967.266093,2848,2213,64.4775025844574,True,[],0.2022,reverted,0.0,True,5996.393,4647.123,10643.516,dense,3,10,run_2_repetition_1
5,1786563967.2728355,1786564027.1289527,1786564027.1430564,1786564075.171888,2757,2058,59.85603213310242,True,[],0.6422,reverted,0.0,True,5543.968,4392.923,9936.891,dense,3,10,run_2_repetition_1
6,1786564075.1732628,1786564140.126849,1786564140.1340542,1786564188.221156,2887,2229,64.95350217819214,True,[],0.4082,reverted,0.0,True,5903.623,4311.391,10215.014,dense,3,10,run_2_repetition_1
7,1786564188.2224956,1786564256.5160048,1786564256.523081,1786564304.6635256,3096,2337,68.29341864585876,True,[],0.251,reverted,0.0,True,6341.21,4494.449,10835.659,dense,3,10,run_2_repetition_1
8,1786564304.6710718,1786564364.342419,1786564364.3571672,1786564412.131861,2858,2049,59.67125821113586,True,[],0.7468,reverted,0.0,True,5495.97,4498.036,9994.006,dense,3,10,run_2_repetition_1
